Name,Description,Purchase Price,Sell Price,Defense Power,Magic Defense Power,Speed,Gender
Leather Boots,"Basic leather boots, offering minimal protection.",80,40,3,1,1,Unisex
Padded Boots,"Lightly padded boots for comfortable movement.",100,50,4,2,2,Unisex
Bronze Boots,"Sturdy bronze boots, providing decent foot protection.",150,75,7,3,0,Unisex
Iron Boots,"Common iron boots, robust and reliable.",220,110,10,4,0,Unisex
Steel Boots,"Heavy steel boots, offering solid defense.",320,160,15,6,0,Unisex
Chainmail Boots,"Flexible chainmail foot protection, good against piercing.",380,190,13,8,0,Unisex
Plate Boots,"Full plate foot armor, excellent protection.",500,250,22,7,0,Unisex
Mithril Boots,"Boots crafted from light and strong mithril.",750,375,28,12,6,Unisex
Adamant Boots,"Nearly impenetrable boots made from adamant ore.",1100,550,40,18,0,Unisex
Dragonhide Boots,"Boots made from the tough hide of a dragon.",1400,700,36,25,0,Unisex
Elven Boots,"Graceful boots favored by elves, light and agile.",550,275,18,20,4,Unisex
Dwarven Boots,"Robust boots forged by dwarven artisans.",650,325,32,9,0,Unisex
Shadow Boots,"Boots imbued with dark energies, granting stealth.",850,425,25,25,10,Male
Holy Boots,"Blessed boots that ward off evil.",950,475,29,30,0,Female
Mystic Boots,"Boots that enhance magical aptitude.",900,450,22,35,0,Unisex
Warrior Boots,"Standard issue boots for a seasoned warrior.",380,190,20,5,0,Unisex
Knight Boots,"Boots fit for a noble knight.",600,300,27,10,0,Male
Sentinel Boots,"Heavy boots designed for defensive stances.",700,350,35,13,0,Unisex
Scout Boots,"Light boots for quick movement and evasion.",280,140,8,7,9,Unisex
Ranger Boots,"Boots suitable for wilderness survival.",350,175,14,12,3,Unisex
Berserker Boots,"Boots for those who fight with unrestrained fury.",450,225,25,4,0,Male
Paladin Boots,"Boots of a holy warrior, offering divine protection.",1000,500,37,28,0,Male
Sorcerer Boots,"Light boots that aid in spellcasting.",420,210,9,28,0,Unisex
Warlock Boots,"Boots for those who dabble in dark magic.",480,240,13,30,0,Unisex
Adept Boots,"Boots worn by skilled practitioners.",550,275,18,18,0,Unisex
Guardian Boots,"Boots designed to protect the wearer at all costs.",800,400,38,16,0,Unisex
Heroic Boots,"Boots worn by legendary heroes.",1200,600,45,22,0,Unisex
Imperial Boots,"Boots of the imperial guard, highly polished.",680,340,30,9,0,Unisex
Royal Boots,"Boots fit for royalty, exquisitely crafted.",1300,650,50,28,0,Unisex
Traveler Boots,"Simple and comfortable boots for long journeys.",80,40,3,1,0,Unisex
Hunter Boots,"Boots designed for tracking and hunting.",300,150,12,9,5,Unisex
Mercenary Boots,"Boots of a hired blade, practical and durable.",260,130,11,5,0,Unisex
Gladiator Boots,"Heavy boots worn by arena champions.",620,310,33,7,0,Male
Barbarian Boots,"Crude but effective boots of a barbarian.",440,220,23,3,0,Male
Druid Boots,"Boots made from natural materials, attuned to nature.",530,265,16,20,0,Female
Cleric Boots,"Boots blessed by divine power, for healing.",570,285,18,26,0,Female
Monk Boots,"Light boots for martial arts practitioners.",330,165,10,14,7,Unisex
Samurai Boots,"Boots of a disciplined warrior from the East.",720,360,31,12,0,Male
Ninja Boots,"Light and silent boots for covert operations.",460,230,14,16,12,Unisex
Templar Boots,"Holy boots worn by zealous protectors.",1100,550,40,32,0,Male
Enchanted Boots,"Boots imbued with a minor enchantment.",600,300,23,23,0,Unisex
Crystalline Boots,"Boots crafted from durable crystals.",920,460,35,27,0,Unisex
Volcanic Boots,"Boots forged near volcanic heat, resilient.",1000,500,43,18,0,Unisex
Oceanic Boots,"Boots found in the depths of the ocean, resistant to water.",980,490,37,25,0,Unisex
Forest Boots,"Boots that blend with natural surroundings.",460,230,15,13,4,Unisex
Desert Boots,"Boots suitable for arid environments.",420,210,13,10,0,Unisex
Arctic Boots,"Boots designed for cold climates.",440,220,14,11,0,Unisex
Starfall Boots,"Boots said to be crafted from fallen stars.",1500,750,55,35,0,Unisex
Sunstone Boots,"Boots that shimmer with solar energy.",1250,625,47,30,0,Unisex
Moonstone Boots,"Boots that glow with lunar power.",1250,625,45,33,0,Unisex
Aether Boots,"Boots from another dimension, ethereal.",1600,800,60,40,0,Unisex
Void Boots,"Boots that draw power from the void.",1700,850,65,45,0,Unisex
Spirit Boots,"Boots that resonate with spiritual energy.",1150,575,40,35,0,Unisex
Ancient Boots,"Boots from a forgotten civilization.",1400,700,53,33,0,Unisex
Legendary Boots,"Boots spoken of in ancient tales.",1900,950,70,50,0,Unisex
Godly Boots,"Boots worn by deities, immense power.",2400,1200,85,55,0,Unisex
Apprentice Boots,"Basic boots for aspiring adventurers.",60,30,2,1,0,Unisex
Journeyman Boots,"Boots for those gaining experience.",130,65,5,2,0,Unisex
Master Boots,"Boots worn by true masters of their craft.",950,475,37,22,0,Unisex
Grandmaster Boots,"Boots of unparalleled skill and defense.",1400,700,50,30,0,Unisex
Vanguard Boots,"Boots for the front lines of battle.",750,375,35,8,0,Male
Recon Boots,"Light boots for reconnaissance missions.",320,160,8,8,10,Unisex
Commando Boots,"Boots for elite fighting units.",900,450,37,13,0,Male
Pathfinder Boots,"Boots for charting unknown territories.",370,185,13,10,6,Unisex
Wanderer Boots,"Boots for eternal travelers.",180,90,6,5,1,Unisex
Nomad Boots,"Boots for those who live on the move.",200,100,7,6,2,Unisex
Pilgrim Boots,"Boots for spiritual journeys.",220,110,8,7,0,Unisex
Crusader Boots,"Boots of a holy warrior on a quest.",1050,525,39,27,0,Male
Inquisitor Boots,"Boots for those who seek out heresy.",980,490,35,29,0,Male
Zealot Boots,"Boots of unwavering devotion.",850,425,32,25,0,Female
Fanatic Boots,"Boots of extreme fervor.",800,400,29,22,0,Female
Sentry Boots,"Boots for watchful guards.",650,325,27,8,0,Unisex
Watchman Boots,"Boots for night patrols.",630,315,25,7,0,Unisex
Militia Boots,"Boots for civilian defense.",130,65,5,2,0,Unisex
Conscript Boots,"Basic boots for newly drafted soldiers.",110,55,4,1,0,Unisex
Officer Boots,"Boots worn by military officers.",700,350,32,10,0,Unisex
Commander Boots,"Boots of a battle hardened commander.",850,425,37,16,0,Unisex
General Boots,"Boots fit for a military general.",950,475,42,18,0,Unisex
Emperor Boots,"Boots of an undisputed ruler.",1500,750,55,30,0,Male
Empress Boots,"Boots of a powerful female ruler.",1500,750,53,33,0,Female
Heroine Boots,"Boots of a celebrated female hero.",1200,600,43,25,0,Female
Champion Boots,"Boots of an undisputed champion.",1300,650,50,28,0,Male
Victor Boots,"Boots worn by those who claim victory.",1100,550,43,22,0,Unisex
Triumph Boots,"Boots signifying great success.",1200,600,47,25,0,Unisex
Aura Boots,"Boots that emanate a protective aura.",850,425,27,27,0,Unisex
Sanctuary Boots,"Boots that offer a sense of peace.",1000,500,37,32,0,Female
Seraph Boots,"Boots of angelic origin.",1600,800,57,40,0,Female
Cherub Boots,"Light and protective boots.",1400,700,50,35,6,Female
Archangel Boots,"Boots of the highest order of angels.",1700,850,65,45,0,Female
Demon Boots,"Boots infused with demonic power.",1500,750,60,27,0,Male
Fiend Boots,"Boots of a malevolent spirit.",1400,700,55,25,0,Male
Imp Boots,"Small but surprisingly tough boots.",230,115,9,4,0,Unisex
Goblin Boots,"Crude boots taken from goblins.",70,35,3,1,0,Unisex
Orcish Boots,"Heavy and brutal boots of orcs.",280,140,16,3,0,Male
Ogre Boots,"Massive boots for immense creatures.",450,225,25,5,0,Male
Giant Boots,"Boots sized for colossal beings.",650,325,35,7,0,Male
Titan Boots,"Boots of legendary titans, immensely strong.",1800,900,67,35,0,Unisex
Dragonlord Boots,"Boots worn by a dragonlord.",2100,1050,75,45,0,Male
Wyvern Boots,"Boots crafted from wyvern scales.",1300,650,45,27,0,Unisex
Phoenix Boots,"Boots that glow with fiery essence.",1400,700,50,32,0,Unisex
Griffin Boots,"Boots that grant swiftness and grace.",1200,600,40,22,12,Unisex
Unicorn Boots,"Pure boots, associated with healing.",1100,550,35,35,0,Female
Pegasus Boots,"Boots that feel weightless.",1000,500,30,18,15,Unisex
Harpy Boots,"Boots that aid in agile aerial combat.",550,275,18,13,10,Female
Sphinx Boots,"Boots of ancient wisdom and defense.",1200,600,45,35,0,Unisex
Basilisk Boots,"Boots made from basilisk hide, resistant to petrification.",950,475,37,18,0,Unisex
Hydra Boots,"Boots of multi-headed beasts, regenerating.",1400,700,53,27,0,Unisex
Kraken Boots,"Boots from the depths, granting water resistance.",1300,650,47,25,0,Unisex
Minotaur Boots,"Boots of brute strength.",850,425,39,9,0,Male
Centaur Boots,"Boots for equestrian warriors.",650,325,27,13,8,Unisex
Gorgon Boots,"Boots offering protection from petrification.",1100,550,40,22,0,Female
Werewolf Boots,"Boots of a shapeshifter, enhances agility.",750,375,27,16,12,Male
Vampire Boots,"Boots that drain life from foes.",850,425,32,20,0,Unisex
Zombie Boots,"Rotting boots, barely functional.",40,20,1,0,0,Unisex
Skeleton Boots,"Bony boots, surprisingly light.",60,30,2,1,0,Unisex
Ghost Boots,"Ethereal boots, difficult to hit.",1000,500,27,40,0,Unisex
Specter Boots,"Boots of a powerful phantom.",1100,550,32,45,0,Unisex
Lich Boots,"Boots of an undead sorcerer.",1200,600,37,50,0,Male
Mummy Boots,"Bandaged boots, ancient and cursed.",900,450,35,18,0,Unisex
Gargoyle Boots,"Stone boots, offering immense defense.",950,475,40,13,0,Unisex
Golem Boots,"Boots crafted from enchanted stone.",1000,500,45,18,0,Unisex
Automaton Boots,"Mechanical boots, precisely engineered.",1100,550,43,20,0,Unisex
Clockwork Boots,"Boots with intricate clockwork mechanisms.",1200,600,47,22,0,Unisex
Steam Boots,"Boots powered by steam, heavy but powerful.",1300,650,50,18,0,Unisex
Magitech Boots,"Boots combining magic and technology.",1400,700,55,27,0,Unisex
