Name,Description,Purchase Price,Sell Price,Attack Power,Defense Power,Magic Attack Power,Magic Defense Power,Luck,Speed,Accuracy,Gender
Copper Ring,"A simple, unadorned copper ring.",50,25,0,1,0,1,1,0,0,Unisex
Iron Pendant,"A heavy iron pendant, often worn by warriors.",80,40,1,1,0,0,0,0,0,Male
Silver Bracelet,"A delicate silver bracelet, popular among magic users.",120,60,0,0,1,2,0,0,0,Female
Gold Necklace,"A gleaming gold necklace, a sign of wealth.",180,90,0,0,0,0,2,0,0,Unisex
Bronze Brooch,"A small bronze brooch, often used to fasten cloaks.",70,35,0,1,0,0,0,0,0,Unisex
Wooden Beads,"Simple wooden beads, sometimes used in rituals.",60,30,0,0,1,1,0,0,0,Unisex
Leather Charm,"A small leather charm, believed to ward off evil.",90,45,0,0,0,0,1,0,0,Unisex
Bone Earring,"An earring crafted from polished bone.",100,50,1,0,0,0,0,0,1,Male
Pearl Tiara,"A beautiful tiara adorned with lustrous pearls.",300,150,0,1,2,3,0,0,0,Female
Ruby Ring,"A gold ring set with a sparkling ruby.",450,225,1,1,1,1,1,0,0,Unisex
Sapphire Pendant,"A silver pendant featuring a deep blue sapphire.",500,250,0,0,2,3,0,0,0,Unisex
Emerald Bracelet,"A verdant emerald bracelet, granting a touch of nature's magic.",550,275,0,1,2,2,0,0,0,Female
Diamond Necklace,"A dazzling diamond necklace, exuding prestige.",800,400,0,0,0,0,3,0,0,Unisex
Amethyst Brooch,"A purple amethyst brooch, known to enhance wisdom.",380,190,0,0,1,2,0,0,0,Female
Opal Ring,"An iridescent opal ring, rumored to bring good fortune.",700,350,0,0,2,2,2,0,0,Unisex
Topaz Circlet,"A golden circlet set with a bright topaz gem.",400,200,0,1,1,1,0,0,0,Female
Garnet Amulet,"A dark red garnet amulet, radiating fortitude.",350,175,1,1,0,0,0,0,0,Male
Jade Anklet,"A serene jade anklet, promoting calm and focus.",250,125,0,0,0,1,1,1,0,Female
Coral Brooch,"A delicate coral brooch, whispering of ocean depths.",200,100,0,0,1,1,0,0,0,Female
Onyx Ring,"A jet black onyx ring, absorbing negative energies.",420,210,0,1,0,2,0,0,0,Male
Quartz Pendant,"A clear quartz pendant, amplifying magical energies.",300,150,0,0,1,1,0,0,0,Unisex
Sunstone Ring,"A vibrant sunstone ring, imbued with solar warmth.",600,300,1,0,1,1,1,0,0,Unisex
Moonstone Circlet,"A luminous moonstone circlet, connected to lunar magic.",620,310,0,0,2,2,0,0,0,Female
Star Sapphire Brooch,"A rare star sapphire brooch, said to grant wishes.",900,450,0,0,3,3,2,0,0,Female
Dragon Scale Necklace,"A necklace made of hardened dragon scales, very protective.",1500,750,2,3,0,1,0,0,0,Male
Phoenix Feather Earring,"An earring with a vibrant phoenix feather, granting swiftness.",1300,650,0,0,0,0,0,5,0,Female
Unicorn Horn Charm,"A charm crafted from a fragment of unicorn horn, for purity.",1200,600,0,1,2,3,0,0,0,Female
Griffin Claw Pendant,"A fierce griffin claw pendant, enhancing predatory instincts.",1400,700,2,1,0,0,0,0,2,Male
Vampire Fang Necklace,"A dark necklace adorned with a vampire fang, siphoning life.",1100,550,1,0,0,1,0,0,0,Unisex
Werewolf Claw Ring,"A ring with a werewolf claw, granting ferocity.",1000,500,2,0,0,0,0,1,0,Male
Lich Phylactery,"A dark, pulsating phylactery, containing a lich's essence.",1800,900,0,2,4,4,0,0,0,Male
Elemental Orb,"A glowing orb containing elemental power.",750,375,1,1,1,1,0,0,0,Unisex
Chaos Emerald,"A chaotic emerald, distorting reality.",2000,1000,2,2,2,2,2,2,2,Unisex
Order Gem,"A perfectly balanced gem, promoting harmony.",2000,1000,1,1,1,1,1,1,1,Unisex
Light Crystal,"A radiant crystal, emitting pure light.",1600,800,0,0,3,4,0,0,0,Unisex
Dark Shard,"A jagged dark shard, filled with malevolence.",1600,800,1,0,4,3,0,0,0,Male
Starfall Fragment,"A fragment of a fallen star, shimmering with cosmic energy.",1700,850,0,0,0,0,3,3,0,Unisex
Void Stone,"A stone that absorbs all light, connected to the void.",1900,950,0,2,3,5,0,0,0,Unisex
Spirit Essence,"A vial containing a concentrated spirit essence.",1000,500,0,0,2,2,0,0,0,Unisex
Soul Gem,"A gem that holds a captured soul, eerie but powerful.",1200,600,1,0,3,3,0,0,0,Unisex
Lifeblood Amulet,"An amulet pulsating with life energy, granting vitality.",1100,550,0,1,0,0,0,0,0,Unisex
Deathwhisper Ring,"A ring that whispers of death, chilling to the touch.",1000,500,1,0,0,1,0,0,0,Unisex
Time Bender Chronometer,"A complex chronometer, subtly altering the flow of time.",2500,1250,0,0,0,0,0,10,0,Unisex
Space Warp Cube,"A small cube that momentarily bends space.",2500,1250,0,0,0,0,0,0,5,Unisex
Reality Anchor,"A heavy anchor that stabilizes reality.",2300,1150,0,3,0,3,0,0,0,Unisex
Dreamcatcher Brooch,"A delicate brooch woven to capture pleasant dreams.",300,150,0,0,1,1,1,0,0,Female
Nightmare Shard,"A jagged shard that induces terrifying nightmares.",300,150,1,0,0,1,0,0,0,Male
