Name,Purchase Price,Sell Price,Defensive Power,Magic Defensive Power,Applicable Gender,Req. Def. Power,Req. Magic Def. Power,Examine String
Cloth Hood (F),120,60,4,3,Female,2,1,"A soft cloth hood, offering basic protection with a hint of magic defense."
Wooden Mask (F),180,90,6,5,Female,3,3,"A mask carved from light wood, providing a balanced defense."
Mithril Helm (F),600,300,18,5,Female,11,3,"A light but strong helm made of mithril, offering good defense."
Wizard's Hat (F),550,275,8,20,Female,4,12,"A pointed hat favored by spellcasters, offering significant magic defense."
Rune Helm (F),850,425,20,18,Female,12,10,"A helm etched with glowing runes, providing balanced defenses."
Shadow Hood (F),1050,525,15,25,Female,9,15,"A dark hood that blends into shadows, excellent for magic defense."
Crystal Helm (F),1400,700,25,30,Female,15,18,"A helm crafted from shimmering crystal, offering strong magical protection."
Crown of Wisdom (F),1600,800,18,35,Female,10,21,A beautiful crown that enhances the wearer's wisdom and magic defense.
Angelic Circlet (F),1900,950,20,40,Female,12,24,"A holy circlet radiating a gentle glow, offering strong magic defense."
Spirit Hood (F),1850,925,12,45,Female,7,27,"A light hood that channels spiritual energy, providing immense magic defense."
Celestial Helm (F),2400,1200,30,50,Female,18,30,"A helm imbued with celestial power, offering balanced, powerful defense."
Archmage's Hat (F),2500,1250,15,55,Female,9,33,"The hat of an archmage, granting exceptional magical protection."
Sorcerer's Hood (F),2700,1350,18,60,Female,11,36,"A hood that amplifies a sorcerer's power, offering superb magic defense."
Elemental Helm (F),3200,1600,40,65,Female,24,39,"A helm infused with elemental forces, providing potent defense."
Oracle's Crown (F),3300,1650,20,70,Female,12,42,"A prophetic crown, granting incredible magic defense and foresight."
Warlock's Visage (F),3600,1800,22,75,Female,13,45,"A dark and powerful visage, offering formidable magic defense."
Mythic Helm (F),4200,2100,50,80,Female,30,48,"A helm from ancient myths, providing legendary defensive power."
Grand Sorcerer's Hat (F),4300,2150,25,85,Female,15,51,"The pinnacle of sorcerous headwear, offering supreme magic defense."
Elder's Hood (F),4600,2300,28,90,Female,17,54,"A wise elder's hood, immeasurably boosting magical resistance."
Astral Helm (F),5200,2600,55,95,Female,33,57,"A helm connected to the astral plane, offering extraordinary defense."
Star Seer's Tiara (F),5300,2650,30,100,Female,18,60,"A tiara that grants glimpses of the stars, providing ultimate magic defense."
Mystic Hood (F),5600,2800,32,105,Female,19,63,"A hood woven with mystic threads, enhancing magical resistance."
Chaos Helm (F),6200,3100,60,110,Female,36,66,"A chaotic helm, offering unpredictable yet potent defense."
Sage's Headband (F),6300,3150,35,115,Female,21,69,"A simple headband worn by sages, providing immense magical protection."
Lich's Phylactery (F),6600,3300,38,120,Female,22,72,"A horrifying yet powerful phylactery, granting unholy magical defense."
Cosmic Helm (F),7200,3600,65,125,Female,39,75,"A helm imbued with cosmic energy, offering universal defense."
Visionary's Diadem (F),7300,3650,40,130,Female,24,78,"A diadem that grants profound visions, providing exceptional magic defense."
Arcane Circlet (F),7600,3800,42,135,Female,25,81,"A circlet pulsating with arcane power, offering superior magic defense."
Spectral Hood (F),7800,3900,45,140,Female,27,84,"A ghostly hood that phases through attacks, providing excellent magic defense."
Spirit Weaver's Crown (F),8300,4150,48,145,Female,28,87,"A crown worn by spirit weavers, offering profound spiritual protection."
Enchanted Circlet (F),8600,4300,50,150,Female,30,90,"A masterfully enchanted circlet, offering unparalleled magical resistance."
Shadow Whisper Hood (F),8800,4400,52,155,Female,31,93,"A hood that muffles whispers of shadows, providing incredible magic defense."
Dream Weaver's Tiara (F),9300,4650,55,160,Female,33,96,"A tiara that weaves dreams into reality, offering exceptional protection."
Mystic Dreamcatcher (F),9600,4800,58,165,Female,34,99,"A delicate yet powerful dreamcatcher, guarding against magical onslaughts."
Darkstone Helm (F),9800,4900,60,170,Female,36,102,"A helm crafted from darkstone, absorbing hostile magic."
Soulbound Helm (F),10300,5150,62,175,Female,37,105,"A helm bound to the wearer's soul, sharing its resilience."
Chronos Helm (F),10600,5300,65,180,Female,39,108,"A helm that bends time to its wearer's will, offering supreme defense."
Aetherial Hood (F),10800,5400,68,185,Female,40,111,"A hood woven from aether, providing ethereal protection."
Starlight Tiara (F),11300,5650,70,190,Female,42,114,"A tiara glittering with starlight, offering celestial protection."
Seraphic Circlet (F),11600,5800,72,195,Female,43,117,"A circlet of angelic origins, offering divine magical defense."
Nightshade Hood (F),11800,5900,75,200,Female,45,120,"A hood that thrives in darkness, providing formidable magic defense."
Spirit Guardian's Crown (F),12300,6150,78,205,Female,46,123,"A crown that summons spirit guardians, offering profound protection."
Arcane Sentinel Helm (F),12600,6300,80,210,Female,48,126,"A helm acting as an arcane sentinel, providing exceptional magical defense."
Whispering Hood (F),12800,6400,82,215,Female,49,129,"A hood that whispers secrets, providing potent magical resistance."
Soul Harvest Helm (F),13300,6650,85,220,Female,51,132,"A helm that draws power from souls, offering immense magical defense."
Cosmic Wanderer's Hood (F),13600,6800,88,225,Female,52,135,"A hood worn by cosmic wanderers, providing boundless magical protection."
Shadowfell Helm (F),13800,6900,90,230,Female,54,138,"A helm from the shadowy realms, offering formidable resistance."
True Sight Helm (F),14300,7150,92,235,Female,55,141,"A helm that grants true sight, protecting against illusions and magic."
Arcane Omni-Helm (F),14600,7300,95,240,Female,57,144,A helm that defends against all forms of arcane attack.
Voidreaver's Hood (F),14800,7400,98,245,Female,58,147,"A hood that reaves the void, offering ultimate magic defense."
Starforged Helm (F),15300,7650,100,250,Female,60,150,"A helm forged from compressed starlight, offering unparalleled defense."
Mystic Veil (F),400,200,7,10,Female,4,6,A light veil imbued with minor mystic protections.
Seer's Circlet (F),950,475,12,28,Female,7,16,A delicate circlet that amplifies a seer's intuition and magic defense.
Enchantress Hat (F),1500,750,18,38,Female,10,22,"A stylish hat favored by enchantresses, offering good magical protection."
Sylvani Crown (F),2100,1050,22,48,Female,13,28,"A crown woven from forest vines, providing natural magical resistance."
Moonpetal Circlet (F),2700,1350,28,58,Female,16,34,"A circlet adorned with moonpetals, offering significant magic defense."
Stardust Veil (F),3400,1700,32,68,Female,19,40,"A veil woven from stardust, providing celestial magical protection."
Aurora Helm (F),4100,2050,38,78,Female,22,46,"A helm shimmering with aurora lights, offering potent magic defense."
Gemstone Tiara (F),4900,2450,42,88,Female,25,52,"A tiara embedded with rare gemstones, amplifying magical resistance."
Soulfire Hood (F),5600,2800,48,98,Female,28,58,"A hood radiating soulfire, offering incredible magical protection."
Oracle's Embrace (F),6400,3200,52,108,Female,31,64,"A helm that feels like an oracle's embrace, providing profound defense."
Dreamer's Band (F),7100,3550,58,118,Female,34,70,"A simple band worn by dreamers, offering vast magical resilience."
Skyweaver Hood (F),7900,3950,62,128,Female,37,76,"A hood woven from sky threads, providing an ethereal defense."
