Name,Description,Purchase Price,Sell Price,Defense Power,Magic Defense Power,Accuracy,Gender
Iron Gauntlets,"Standard blacksmith-forged gauntlets, offering basic protection.",100,50,5,2,0,Unisex
Leather Gauntlets,"Lightweight leather gloves, offering dexterity with minimal defense.",80,40,3,4,2,Unisex
Bronze Fists,"Crude but sturdy bronze gauntlets, heavy and reliable.",150,75,8,1,0,Male
Steel Gauntlets,"Reinforced steel gauntlets, a common choice for adventurers.",250,125,12,3,0,Unisex
Padded Mitts,"Thickly padded gloves, offering surprising magical resistance.",120,60,4,8,0,Female
Hunter's Grips,"Agile gauntlets favored by hunters, enhancing precision.",180,90,7,5,5,Unisex
Warrior's Gauntlets,"Solid gauntlets for frontline fighters, focusing on physical defense.",300,150,15,4,0,Male
Sorcerer's Bands,"Enchanted wristbands, amplifying magical potency.",280,140,6,15,0,Unisex
Chainmail Gauntlets,"Flexible chainmail providing good all-around protection.",220,110,10,7,0,Unisex
Thief's Gloves,"Thin, dark gloves used for stealth and quick movements.",110,55,2,6,8,Unisex
Sentinel Gauntlets,"Heavy duty gauntlets for guardians, built for endurance.",400,200,20,5,0,Male
Mystic Handguards,"Gauntlets imbued with faint arcane energy, boosting magic defense.",350,175,9,18,0,Female
Guard Captain Gauntlets,"Worn by experienced guards, providing reliable defense.",380,190,18,7,0,Unisex
Berserker's Fists,"Crude, spiked gauntlets for aggressive combatants.",320,160,16,2,3,Male
Archer's Bracers,"Light and flexible bracers for archers, aiding aim.",200,100,6,4,10,Unisex
Holy Gauntlets,"Blessed gauntlets, offering protection against dark forces.",450,225,15,12,0,Unisex
Shadow Grips,"Dark, lightweight gloves for those who operate in shadows.",260,130,5,10,12,Unisex
Knight's Gauntlets,"Polished and robust gauntlets, fit for a knight.",500,250,22,8,0,Male
Cleric's Cuffs,"Simple cuffs worn by clerics, aiding in divine magic.",300,150,7,17,0,Female
Draconian Claws,"Gauntlets crafted from dragon scales, exceptionally strong.",600,300,28,10,0,Unisex
Elven Weave Gloves,"Intricately woven gloves, light and magically resistant.",420,210,10,20,5,Unisex
Dwarven Stonefists,"Stone-infused gauntlets, incredibly durable.",550,275,25,6,0,Male
Enchanted Armbands,"Armbands pulsating with magical energy.",480,240,12,22,0,Female
Gladiator's Gauntlets,"Rough yet effective gauntlets for arena combat.",370,185,19,3,0,Male
Apprentice's Mitts,"Basic gloves for a budding spellcaster.",90,45,3,6,0,Unisex
Traveler's Gloves,"Simple, comfortable gloves for long journeys.",70,35,2,3,1,Unisex
Crusader's Gauntlets,"Heavy, ornate gauntlets for a holy warrior.",650,325,30,15,0,Male
Moonlit Bands,"Silken bands that shimmer with lunar light, boosting mystical power.",520,260,8,25,0,Female
Veteran's Grips,"Well-worn gauntlets of an experienced fighter.",410,205,21,6,0,Unisex
Wyvern Claws,"Gauntlets adorned with wyvern talons, sharp and intimidating.",580,290,26,9,0,Male
Celestial Gauntlets,"Gauntlets said to be forged from starlight, offering divine protection.",700,350,32,20,0,Unisex
Warlock's Wraps,"Dark wraps enhancing destructive magic.",500,250,10,28,0,Female
Paladin's Vambraces,"Polished vambraces of a sworn protector.",750,375,35,18,0,Male
Spirit Woven Gloves,"Gloves woven with spectral threads, offering ethereal defense.",460,230,11,24,0,Unisex
Dark Iron Gauntlets,"Gauntlets forged from dark iron, ominous and powerful.",620,310,29,11,0,Male
Oracle's Handguards,"Handguards that hum with prophetic energy, aiding foresight.",540,270,13,27,7,Female
Royal Gauntlets,"Finely crafted gauntlets, fit for royalty.",800,400,38,20,0,Unisex
Assassin's Claws,"Sleek, sharp gauntlets designed for quick strikes.",340,170,7,9,15,Unisex
Titan's Fists,"Massive gauntlets rumored to be from a giant.",850,425,40,10,0,Male
Phoenix Gloves,"Gloves said to be touched by a phoenix, offering fiery defense.",720,360,16,30,0,Female
Abyssal Gauntlets,"Gauntlets from the depths, reeking of darkness.",900,450,42,15,0,Unisex
Runesmith's Gauntlets,"Gauntlets inscribed with powerful runes, enhancing craftsmanship and defense.",780,390,36,12,0,Unisex
Harpy Talons,"Light gauntlets with sharp tips, good for quick attacks.",390,195,8,7,18,Female
Gorgon's Grip,"Petrifying gauntlets that can turn foes to stone.",950,475,45,20,0,Unisex
Desert Nomad Gloves,"Dust-resistant gloves for arid environments.",130,65,4,5,2,Unisex
Frostbite Gauntlets,"Gauntlets radiating chilling energy, freezing foes.",760,380,34,17,0,Male
Sunstone Cuffs,"Cuffs glowing with warm sunlight, providing healing and protection.",680,340,14,32,0,Female
Beastkin Gauntlets,"Gauntlets made from tough beast hide, wild and untamed.",430,215,20,6,0,Unisex
Golem Gauntlets,"Heavy, stone-like gauntlets, nearly indestructible.",1000,500,50,8,0,Unisex
Shaman's Handwraps,"Simple wraps used in rituals, channeling natural magic.",490,245,9,26,0,Unisex
Zephyr Gloves,"Gloves light as air, granting incredible speed and evasion.",400,200,6,10,20,Unisex
Vampire's Embrace,"Gauntlets that seem to drain life from enemies.",820,410,25,23,0,Unisex
Dreadnought Gauntlets,"Massive, intimidating gauntlets for ultimate defense.",1100,550,55,10,0,Male
Faerie Silk Gloves,"Gloves woven from mystical faerie silk, incredibly soft yet protective.",560,280,12,35,0,Female
Savage Gauntlets,"Brutal, unrefined gauntlets for savage warriors.",470,235,23,4,0,Male
Stormcaller Bands,"Bands crackling with elemental energy, summoning lightning.",880,440,18,30,0,Unisex
Void Gauntlets,"Gauntlets from the void, absorbing magical attacks.",1200,600,48,25,0,Unisex
Divine Aegis,"Gauntlets offering supreme divine protection.",1300,650,60,30,0,Unisex
Inferno Fists,"Gauntlets ablaze with eternal flames, burning all who touch.",920,460,30,28,0,Male
Seraphic Mitts,"Feather-light mitts of angelic origin, offering celestial defense.",700,350,15,40,0,Female
Barbarian's Cuffs,"Rough, leather cuffs for a primal warrior.",160,80,9,1,0,Male
Runepowder Gauntlets,"Gauntlets infused with explosive runepowder.",680,340,24,9,0,Unisex
Glacial Handguards,"Handguards emitting an icy aura, slowing enemies.",740,370,27,14,0,Unisex
Crimson Gauntlets,"Blood-stained gauntlets of a ruthless warrior.",530,265,26,7,0,Male
Emerald Bands,"Bands gleaming with verdant energy, restoring vitality.",600,300,13,21,0,Female
Obsidian Fists,"Gauntlets carved from volcanic obsidian, sharp and resilient.",980,490,40,12,0,Unisex
Specter Gloves,"Gloves allowing passage through solid objects.",850,425,10,33,0,Unisex
Gloom Gauntlets,"Gauntlets that seem to absorb light and hope.",1050,525,45,16,0,Unisex
Zealot's Bracers,"Bracers of a fanatical warrior, inspiring courage.",790,395,33,13,0,Male
Chrono Cuffs,"Cuffs that subtly manipulate time, improving reaction speed.",900,450,15,25,10,Unisex
Necromancer's Grips,"Grips that draw power from the deceased.",800,400,11,30,0,Unisex
Golemite Gauntlets,"Heavy gauntlets made from animated stone.",950,475,48,10,0,Male
Silverleaf Gloves,"Gloves crafted from mystical silverleaf, light and protective.",620,310,14,29,0,Female
Spiked Gauntlets,"Iron gauntlets with sharp spikes for offensive maneuvers.",200,100,10,2,0,Unisex
Aetherial Bands,"Bands pulsating with pure magical essence.",1100,550,17,38,0,Unisex
Wyrmhide Gauntlets,"Gauntlets made from the tough hide of a lesser wyrm.",720,360,31,10,0,Unisex
Stoneguard Gauntlets,"Gauntlets reinforced with elemental earth, sturdy.",670,335,28,8,0,Male
Oceanic Gauntlets,"Gauntlets smelling of the sea, aiding in water spells.",880,440,16,31,0,Female
Blazefire Gauntlets,"Gauntlets radiating intense heat, burning enemies on contact.",930,465,37,15,0,Male
Lunar Gauntlets,"Gauntlets that glow with soft moonlight, enhancing stealth.",750,375,12,28,15,Female
Solar Bracers,"Bracers that pulse with sun's energy, healing allies.",800,400,19,26,0,Unisex
Vanguard Gauntlets,"The first line of defense, heavy and reliable.",1000,500,52,12,0,Male
Stormforged Fists,"Gauntlets forged in a thunderstorm, crackling with power.",960,480,39,18,0,Unisex
Zealot Gauntlets,"Ornately decorated gauntlets, inspiring divine fury.",1020,510,43,20,0,Male
Shadowstitch Gloves,"Gloves sewn from threads of shadow, providing stealth and agility.",650,325,9,20,17,Unisex
Ancient Rune Gauntlets,"Gauntlets covered in ancient, forgotten runes.",1150,575,47,24,0,Unisex
Bloodbound Gauntlets,"Gauntlets that empower the wearer with every wound taken.",1250,625,58,15,0,Male
Starlight Gauntlets,"Gauntlets shimmering with starlight, offering celestial guidance.",1080,540,20,36,8,Female
Crystaline Gauntlets,"Gauntlets formed from pure crystal, fragile yet powerful.",910,455,35,22,0,Unisex
Gravehand Gloves,"Gloves that chill to the touch, connected to the underworld.",770,385,10,30,0,Unisex
Dragonhide Gauntlets,"Gauntlets crafted from the hide of a mature dragon.",1350,675,65,25,0,Male
Dreamweaver Bands,"Bands that allow the wearer to influence dreams and minds.",830,415,13,34,0,Female
Ironclad Gauntlets,"Exceptionally sturdy gauntlets, heavy but impenetrable.",1400,700,70,10,0,Unisex
Soulforged Gauntlets,"Gauntlets imbued with a captured soul, granting dark power.",1500,750,68,28,0,Unisex
Angelic Gauntlets,"Gauntlets from the heavens, radiating purity and light.",1600,800,75,35,0,Unisex
Demonic Claws,"Vicious gauntlets from the fiery pits, dripping with malice.",1700,850,80,20,0,Unisex
Ebon Gauntlets,"Gauntlets forged from solidified darkness, absorbing all light.",1800,900,85,30,0,Male
